timestamp,date,close,change,p_change
1613466000, 2021-02-16,136.09,,
1613466060, 2021-02-16,136.3,0.21,0.001543096
1613466120, 2021-02-16,136.44,0.14,0.001027146
1613466180, 2021-02-16,136.3,-0.14,-0.001026092
1613466240, 2021-02-16,136.3,0,0
1613466300, 2021-02-16,136.3,0,0
1613466360, 2021-02-16,136.24,-0.06,-0.000440205
1613466420, 2021-02-16,136.24,0,0
1613466480, 2021-02-16,136.26,0.02,0.0001468
1613466540, 2021-02-16,136.24,-0.02,-0.000146778
1613466600, 2021-02-16,136.24,0,0
1613466660, 2021-02-16,136.21,-0.03,-0.0002202
1613466720, 2021-02-16,136.23,0.02,0.000146832
1613466780, 2021-02-16,136.2,-0.03,-0.000220216
1613466840, 2021-02-16,136.22,0.02,0.000146843
1613466900, 2021-02-16,136.22,0,0
1613466960, 2021-02-16,136.22,0,0
1613467020, 2021-02-16,136.18,-0.04,-0.000293643
1613467080, 2021-02-16,136.03,-0.15,-0.001101483
1613467140, 2021-02-16,136.03,0,0
1613467200, 2021-02-16,136.03,0,0
1613467260, 2021-02-16,136.1,0.07,0.000514592
1613467320, 2021-02-16,136.13,0.03,0.000220426
1613467380, 2021-02-16,136.13,0,0
1613467440, 2021-02-16,136.09,-0.04,-0.000293837
1613467500, 2021-02-16,136.09,0,0
1613467560, 2021-02-16,136.02,-0.07,-0.000514365
1613467620, 2021-02-16,136.02,0,0
1613467680, 2021-02-16,136.02,0,0
1613467740, 2021-02-16,136.03,0.01,7.35186E-05
1613467800, 2021-02-16,136,-0.03,-0.00022054
1613467860, 2021-02-16,135.98,-0.02,-0.000147059
1613467920, 2021-02-16,135.9,-0.08,-0.000588322
1613467980, 2021-02-16,135.95,0.05,0.000367918
1613468040, 2021-02-16,135.95,0,0
1613468100, 2021-02-16,135.95,0,0
1613468160, 2021-02-16,135.9,-0.05,-0.000367782
1613468220, 2021-02-16,136,0.1,0.000735835
1613468280, 2021-02-16,136,0,0
1613468340, 2021-02-16,135.9,-0.1,-0.000735294
1613468400, 2021-02-16,135.9,0,0
1613468460, 2021-02-16,136.01,0.11,0.000809419
1613468520, 2021-02-16,136.01,0,0
1613468580, 2021-02-16,136.01,0,0
1613468640, 2021-02-16,136.1,0.09,0.000661716
1613468700, 2021-02-16,136.1,0,0
1613468760, 2021-02-16,136.04,-0.06,-0.000440852
1613468820, 2021-02-16,135.99,-0.05,-0.000367539
1613468880, 2021-02-16,135.96,-0.03,-0.000220604
1613468940, 2021-02-16,135.96,0,0
1613469000, 2021-02-16,135.96,0,0
1613469060, 2021-02-16,135.96,0,0
1613469120, 2021-02-16,135.96,0,0
1613469180, 2021-02-16,136.08,0.12,0.000882613
1613469240, 2021-02-16,136.08,0,0
1613469300, 2021-02-16,136.08,0,0
1613469360, 2021-02-16,136.08,0,0
1613469420, 2021-02-16,136.01,-0.07,-0.000514403
1613469480, 2021-02-16,136.05,0.04,0.000294096
1613469540, 2021-02-16,136.05,0,0
1613469600, 2021-02-16,136.05,0,0
1613469660, 2021-02-16,136.05,0,0
1613469720, 2021-02-16,136.05,0,0
1613469780, 2021-02-16,136.05,0,0
1613469840, 2021-02-16,135.95,-0.1,-0.000735024
1613469900, 2021-02-16,135.97,0.02,0.000147113
1613469960, 2021-02-16,135.97,0,0
1613470020, 2021-02-16,135.9,-0.07,-0.000514819
