timestamp,date,close,change,p_change
1613466000, 2021-02-16,394.76,,
1613466060, 2021-02-16,394.76,0,0
1613466120, 2021-02-16,394.7,-0.06,-0.000151991
1613466180, 2021-02-16,394.71,0.01,2.53357E-05
1613466240, 2021-02-16,394.71,0,0
1613466300, 2021-02-16,394.68,-0.03,-7.60052E-05
1613466360, 2021-02-16,394.68,0,0
1613466420, 2021-02-16,394.66,-0.02,-5.0674E-05
1613466480, 2021-02-16,394.59,-0.07,-0.000177368
1613466540, 2021-02-16,394.65,0.06,0.000152057
1613466600, 2021-02-16,394.57,-0.08,-0.000202711
1613466660, 2021-02-16,394.69,0.12,0.000304129
1613466720, 2021-02-16,394.68,-0.01,-2.53363E-05
1613466780, 2021-02-16,394.66,-0.02,-5.0674E-05
1613466840, 2021-02-16,394.62,-0.04,-0.000101353
1613466900, 2021-02-16,394.6,-0.02,-5.06817E-05
1613466960, 2021-02-16,394.54,-0.06,-0.000152053
1613467020, 2021-02-16,394.54,0,0
1613467080, 2021-02-16,394.46,-0.08,-0.000202768
1613467140, 2021-02-16,394.44,-0.02,-5.07022E-05
1613467200, 2021-02-16,394.47,0.03,7.60572E-05
1613467260, 2021-02-16,394.51,0.04,0.000101402
1613467320, 2021-02-16,394.49,-0.02,-5.06958E-05
1613467380, 2021-02-16,394.44,-0.05,-0.000126746
1613467440, 2021-02-16,394.4,-0.04,-0.00010141
1613467500, 2021-02-16,394.43,0.03,7.60649E-05
1613467560, 2021-02-16,394.52,0.09,0.000228177
1613467620, 2021-02-16,394.48,-0.04,-0.000101389
1613467680, 2021-02-16,394.48,0,0
1613467740, 2021-02-16,394.48,0,0
1613467800, 2021-02-16,394.5,0.02,5.06997E-05
1613467860, 2021-02-16,394.36,-0.14,-0.00035488
1613467920, 2021-02-16,394.36,0,0
1613467980, 2021-02-16,394.44,0.08,0.00020286
1613468040, 2021-02-16,394.44,0,0
1613468100, 2021-02-16,394.4,-0.04,-0.00010141
1613468160, 2021-02-16,394.31,-0.09,-0.000228195
1613468220, 2021-02-16,394.23,-0.08,-0.000202886
1613468280, 2021-02-16,394.23,0,0
1613468340, 2021-02-16,394.23,0,0
1613468400, 2021-02-16,394.45,0.22,0.00055805
1613468460, 2021-02-16,394.48,0.03,7.60553E-05
1613468520, 2021-02-16,394.5,0.02,5.06997E-05
1613468580, 2021-02-16,394.49,-0.01,-2.53485E-05
1613468640, 2021-02-16,394.56,0.07,0.000177444
1613468700, 2021-02-16,394.55,-0.01,-2.53447E-05
1613468760, 2021-02-16,394.55,0,0
1613468820, 2021-02-16,394.55,0,0
1613468880, 2021-02-16,394.55,0,0
1613468940, 2021-02-16,394.6,0.05,0.000126727
1613469000, 2021-02-16,394.57,-0.03,-7.60264E-05
1613469060, 2021-02-16,394.57,0,0
1613469120, 2021-02-16,394.62,0.05,0.00012672
1613469180, 2021-02-16,394.62,0,0
1613469240, 2021-02-16,394.64,0.02,5.06817E-05
1613469300, 2021-02-16,394.67,0.03,7.60186E-05
1613469360, 2021-02-16,394.67,0,0
1613469420, 2021-02-16,394.67,0,0
1613469480, 2021-02-16,394.67,0,0
1613469540, 2021-02-16,394.65,-0.02,-5.06752E-05
1613469600, 2021-02-16,394.65,0,0
1613469660, 2021-02-16,394.65,0,0
1613469720, 2021-02-16,394.65,0,0
1613469780, 2021-02-16,394.76,0.11,0.000278728
1613469840, 2021-02-16,394.76,0,0
1613469900, 2021-02-16,394.76,0,0
1613469960, 2021-02-16,394.76,0,0
1613470020, 2021-02-16,394.76,0,0
1613470080, 2021-02-16,394.76,0,0
1613470140, 2021-02-16,394.76,0,0
1613470200, 2021-02-16,394.76,0,0
1613470260, 2021-02-16,394.76,0,0
1613470320, 2021-02-16,394.59,-0.17,-0.000430641
1613470380, 2021-02-16,394.59,0,0
1613470440, 2021-02-16,394.59,0,0
1613470500, 2021-02-16,394.64,0.05,0.000126714
1613470560, 2021-02-16,394.64,0,0
1613470620, 2021-02-16,394.64,0,0
1613470680, 2021-02-16,394.64,0,0
1613470740, 2021-02-16,394.64,0,0
1613470800, 2021-02-16,394.64,0,0
1613470860, 2021-02-16,394.64,0,0
1613470920, 2021-02-16,394.51,-0.13,-0.000329414
1613470980, 2021-02-16,394.51,0,0
1613471040, 2021-02-16,394.51,0,0
1613471100, 2021-02-16,394.51,0,0
1613471160, 2021-02-16,394.59,0.08,0.000202783
1613471220, 2021-02-16,394.59,0,0
1613471280, 2021-02-16,394.59,0,0
1613471340, 2021-02-16,394.55,-0.04,-0.000101371
1613471400, 2021-02-16,394.59,0.04,0.000101381
1613471460, 2021-02-16,394.59,0,0
1613471520, 2021-02-16,394.59,0,0
1613471580, 2021-02-16,394.64,0.05,0.000126714
1613471640, 2021-02-16,394.64,0,0
1613471700, 2021-02-16,394.64,0,0
1613471760, 2021-02-16,394.64,0,0
1613471820, 2021-02-16,394.64,0,0
1613471880, 2021-02-16,394.64,0,0
1613471940, 2021-02-16,394.64,0,0
1613472000, 2021-02-16,394.67,0.03,7.60186E-05
1613472060, 2021-02-16,394.67,0,0
1613472120, 2021-02-16,394.67,0,0
1613472180, 2021-02-16,394.67,0,0
1613472240, 2021-02-16,394.73,0.06,0.000152026
1613472300, 2021-02-16,394.73,0,0
1613472360, 2021-02-16,394.77,0.04,0.000101335
1613472420, 2021-02-16,394.77,0,0
1613472480, 2021-02-16,394.77,0,0
1613472540, 2021-02-16,394.77,0,0
1613472600, 2021-02-16,394.77,0,0
1613472660, 2021-02-16,394.69,-0.08,-0.00020265
1613472720, 2021-02-16,394.71,0.02,5.06727E-05
1613472780, 2021-02-16,394.7,-0.01,-2.53351E-05
1613472840, 2021-02-16,394.7,0,0
1613472900, 2021-02-16,394.7,0,0
1613472960, 2021-02-16,394.67,-0.03,-7.60071E-05
1613473020, 2021-02-16,394.67,0,0
1613473080, 2021-02-16,394.67,0,0
1613473140, 2021-02-16,394.67,0,0
1613473200, 2021-02-16,394.67,0,0
1613473260, 2021-02-16,394.67,0,0
1613473320, 2021-02-16,394.67,0,0
