,Unnamed: 0,user,timestamp,txt,sentiment,link,included symbols,BTC_returns,DOGE_returns,TSLA_returns,GOOG_returns,AAPL_returns,datetime,GME_returns,SPY_returns
477,63,filtered_cook,1610568533,"Apple’s Racial Equity and Justice Initiative is taking three big steps. Supporting the Propel Center, a global inno… https://t.co/tLz2FSoEcH",0.743,twitter.com/tim_cook/status/1349357756352892929,['apple'],1870.96875,0.000781,0.03,0.2,0.04,Wed Jan 13 14:08:53,-0.05,0.03
478,166,filtered_cook,1613181837,"From our Apple family to yours, wishing you a healthy, safe and happy year of the Ox! #LunarNewYear",0.8883,twitter.com/tim_cook/status/1360318746603048960,['apple'],-399.33593,-0.003619,3.45,13.01,0.66,Fri Feb 12 20:03:57,0.1,1.66
479,211,filtered_cook,1614403675,We’re so happy to welcome our customers in Korea to Apple Yeouido — Apple’s second store in Seoul! https://t.co/vnztqsLVvP,0.82,twitter.com/tim_cook/status/1365443505204596736,['apple'],-151.30859,-0.000397,24.08,22.6,2.74,Fri Feb 26 23:27:55,5.71,5.44
480,219,filtered_cook,1614727350,"Thanks to important insights from the Apple Hearing Study with @umichsph, we’re learning more than ever about how e… https://t.co/52bf0nNxA6",0.5719,twitter.com/tim_cook/status/1366801098585956353,['apple'],2159.25391,0.00033,0.0,0.0,-0.01,Tue Mar 02 17:22:30,0.38,0.01
481,258,filtered_cook,1616008006,"We all share a responsibility to fight the urgent and ongoing threat of climate change. At Apple, we are investing… https://t.co/bU3vJluD1m",-0.4588,twitter.com/tim_cook/status/1372187656877076489,['apple'],-1011.97265,-0.00027,1.29,0.12,0.03,Wed Mar 17 14:06:46,-0.75,0.08
482,262,filtered_cook,1616105846,The American Dream and Promise Act is a promise fulfilled for the over 450 Dreamers at Apple and those across this… https://t.co/ZLCB8eIiQw,0.8126,twitter.com/tim_cook/status/1372598031393058817,['apple'],487.73046,0.000945,0.02,0.0,-0.02,Thu Mar 18 17:17:26,-0.48,0.03
483,277,filtered_cook,1616475460,"Apple is committed to furthering the vital work of water conservation. Together, with our suppliers, we must protec… https://t.co/0r8v0qs91e",0.5106,twitter.com/tim_cook/status/1374148304003473410,['apple'],209.80078,-0.001406,-1.36,-1.0,-0.33,Mon Mar 22 23:57:40,3.49,-0.98
484,302,filtered_cook,1617303819,"As Apple celebrates 45 years today, I’m reminded of Steve’s words from many years ago: “It’s been an amazing journe… https://t.co/amiG10iuSI",0.8176,twitter.com/tim_cook/status/1377622693261021184,['apple'],288.50391,-0.004322,0.07,-0.02,0.0,Thu Apr 01 14:03:39,0.24,-0.01
485,306,filtered_cook,1617496286,"Earlier this week we opened our newest store, Apple Downtown Nashville. We’re proud to continue our growth in a cit… https://t.co/505G8AYMr7",0.6908,twitter.com/tim_cook/status/1378429958729527301,['apple'],1154.66406,0.0016,42.05,1.0,0.12,Sat Apr 03 19:31:26,-0.81,1.06
486,405,filtered_cook,1618518915,Apple is proud to be carbon neutral &amp; by 2030 our products and manufacturing will be too. We take a new step today… https://t.co/Wxthi3Ieds,0.4767,twitter.com/tim_cook/status/1382719176096116747,['apple'],-1741.22266,0.183663,0.0,0.0,0.0,Thu Apr 15 15:35:15,-0.3,0.06
487,439,filtered_cook,1618945958,It’s a beautiful spring morning for an #AppleEvent! See you soon. https://t.co/gdiN0QXbz5,0.636,twitter.com/tim_cook/status/1384510323835637769,['apple'],-2566.94141,-0.012575,0.0,-0.27,-0.02,Tue Apr 20 14:12:38,-0.16,0.01
488,442,filtered_cook,1618959886,"Say hello to the all-new iMac! 
💚💛🧡❤️💜💙🤍
https://t.co/oFiqPx7Y0S",0.0,twitter.com/tim_cook/status/1384568739564122114,['apple'],-2566.94141,-0.012575,-0.19,0.0,-0.03,Tue Apr 20 18:04:46,0.0,0.0
489,469,filtered_cook,1619120838,Earth Day is a reminder that the fight for our planet can’t wait and neither should we. That’s why Apple is already… https://t.co/Z4gwjwUxtC,-0.3818,twitter.com/tim_cook/status/1385243824390230018,['apple'],-668.6211,-0.012458,-0.45,-2.05,-0.01,Thu Apr 22 14:47:18,0.0,-0.16
490,507,filtered_cook,1619466559,"As we look toward recovery &amp; rebuilding, Apple is investing $430B in US innovation and manufacturing along with 20K… https://t.co/atR3tqyLcf",0.3818,twitter.com/tim_cook/status/1386693881161392128,['apple'],1011.36328,0.001514,2.85,0.0,0.1,Mon Apr 26 14:49:19,-0.27,0.24
491,513,filtered_cook,1619487186,"Amid a devastating rise of COVID cases in India, our thoughts are with the medical workers, our Apple family and ev… https://t.co/6x9sL0vnRF",-0.6486,twitter.com/tim_cook/status/1386780398609309698,['apple'],1011.36328,0.001514,-6.88,6.2,0.11,Mon Apr 26 20:33:06,-2.55,0.32
492,524,filtered_cook,1619572952,"At Apple, we’ve always believed that you should be in control of your data — what you do with it &amp; who you share it… https://t.co/aKW13qm9X9",0.296,twitter.com/tim_cook/status/1387140125256130561,['apple'],-208.41406,0.051494,-0.58,7.56,-0.09,Tue Apr 27 20:22:32,-1.12,-0.12
