,Unnamed: 0,user,timestamp,txt,sentiment,link,included symbols,BTC_returns,DOGE_returns,TSLA_returns,GOOG_returns,AAPL_returns,datetime,GME_returns,SPY_returns
531,66,filtered_sundar,1610587955,"Dreamers enrich our communities &amp; contribute to the economy, and Google has always been proud to support them. We’r… https://t.co/ZBjHeEAal3",0.7003,twitter.com/sundarpichai/status/1349439217621864448,['google'],1870.96875,0.000781,-4.1,-11.38,-0.26,Wed Jan 13 19:32:35,0.7,0.11
532,106,filtered_sundar,1611203526,"We applaud @POTUS's quick action on COVID relief, the Paris Climate Accord, and immigration reform. Google has supp… https://t.co/p1WNYOPKWk",0.7269,twitter.com/sundarpichai/status/1352021111479832576,['google'],-4722.05078,-0.000894,7.12,10.12,0.39,Wed Jan 20 22:32:06,0.15,0.23
533,121,filtered_sundar,1611583318,"To help get vaccines to more people, Google is providing $150M to promote vaccine education &amp; equitable access, and… https://t.co/PfIopiuuN8",0.6486,twitter.com/sundarpichai/status/1353614072982298624,['google'],203.45703,-0.000128,-0.41,0.0,0.09,Mon Jan 25 08:01:58,-1.82,0.05
534,123,filtered_sundar,1611728511,"RT @SusanWojcicki: Today I updated the YouTube community on our priorities for 2021. Read more about our plans to grow the creator economy,…",0.0,twitter.com/sundarpichai/status/1354223055355056131,['google'],1217.05859,0.005073,-0.91,-13.62,-0.58,Wed Jan 27 00:21:51,42.41,-0.94
535,134,filtered_sundar,1612218993,"Excited to partner with you + your team, @jimfarley98 to apply the best of Google Cloud, Android and Google AI to h… https://t.co/Yvr0nXXXZy",0.765,twitter.com/sundarpichai/status/1356280284791009282,['google'],1973.11328,-0.003355,0.04,0.0,0.0,Mon Feb 01 16:36:33,-0.5,0.04
536,136,filtered_sundar,1612310174,@noam @Google @waze Thanks for your focus on customers and the amazing journey @noam and best wishes!,0.9151,twitter.com/sundarpichai/status/1356662728111181824,['google'],1961.80078,0.0056,0.15,0.0,-0.04,Tue Feb 02 17:56:14,-0.03,-0.16
537,201,filtered_sundar,1614215879,.@Googleorg Fellows worked with researchers around the world to create an open-access platform with millions of ano… https://t.co/ZUZlc9hYUj,0.2732,twitter.com/sundarpichai/status/1364655832831385600,['google'],-2611.48047,-0.006388,-3.72,-20.0,-0.25,Wed Feb 24 19:17:59,-8.41,-0.87
538,207,filtered_sundar,1614341604,RT @verge: How one of Google’s massive undersea cables detects earthquakes   https://t.co/EMrvhGsyqv https://t.co/rnonhKCxPM,0.0,twitter.com/sundarpichai/status/1365183161315958785,['google'],-151.30859,-0.000397,-0.79,26.76,0.19,Fri Feb 26 06:13:24,0.23,0.14
539,216,filtered_sundar,1614637466,"We’re introducing updates in @GoogleWorkspace designed to help businesses work better across distributed teams, inc… https://t.co/BqwxkJzoaD",0.6808,twitter.com/sundarpichai/status/1366424099451408387,['google'],-1252.25391,-0.000337,-0.46,0.0,0.02,Mon Mar 01 16:24:26,1.24,0.03
540,230,filtered_sundar,1615203215,"Today at #GoogleForIndia #WomenWill we announced a commitment to support 1M women entrepreneurs in rural India, and… https://t.co/eDLOOnUwwi",0.6486,twitter.com/sundarpichai/status/1368797022661189635,['google'],2577.59375,-0.003951,0.09,-27.13,-0.02,Mon Mar 08 05:33:35,0.0,-0.05
541,242,filtered_sundar,1615492879,"50,000+ have graduated from our IT Support Certificate to prepare for careers in IT. We’re now adding Google Career… https://t.co/ZV3gnz3INS",0.4019,twitter.com/sundarpichai/status/1370011961145122823,['google'],-473.03125,-0.000569,-0.22,0.44,0.03,Thu Mar 11 14:01:19,0.77,-0.06
542,243,filtered_sundar,1615493430,@profgalloway @procload @Google @karaswisher We just announced enrollment is now open for Google Career Certificate… https://t.co/tyoZraoz11,0.0,twitter.com/sundarpichai/status/1370014269761187841,['google'],-473.03125,-0.000569,0.57,-1.31,0.0,Thu Mar 11 14:10:30,-0.44,-0.14
543,245,filtered_sundar,1615530466,"Thanks for the chat @JustinJBariso, was excited to discuss our new Google Career Certificates program https://t.co/JY3t0u8jbV",0.6486,twitter.com/sundarpichai/status/1370169610780086273,['google'],3910.9961,0.007083,-23.19,-25.98,-2.31,Fri Mar 12 00:27:46,-9.1,-2.88
544,260,filtered_sundar,1616090683,"Our US economic impact in 2020: Google’s products helped provide $426B of economic activity for 2M businesses, publ… https://t.co/URIjqLloiN",0.0,twitter.com/sundarpichai/status/1372534431332904962,['google'],487.73046,0.000945,0.26,-0.15,0.01,Thu Mar 18 13:04:43,0.29,0.03
545,264,filtered_sundar,1616134228,We’re proud to employ Dreamers at Google. Glad to see the passage of the American Dream and Promise Act to ensure t… https://t.co/ILgWbzQ8qr,0.9001,twitter.com/sundarpichai/status/1372717071839109120,['google'],-33.00781,0.000633,9.47,6.4,0.71,Fri Mar 19 01:10:28,4.03,-0.36
546,266,filtered_sundar,1616151155,"Excited to see Live Caption roll out on @GoogleChrome, making audio content more accessible for everyone. The real-… https://t.co/ckQweksCCu",0.34,twitter.com/sundarpichai/status/1372788068952903686,['google'],-33.00781,0.000633,0.0,6.4,-0.03,Fri Mar 19 05:52:35,0.0,0.0
547,268,filtered_sundar,1616201310,A Google data center is twice as energy efficient as a typical enterprise data center: we now deliver 7x as much co… https://t.co/3fBbXRYEiv,0.5994,twitter.com/sundarpichai/status/1372998434349670401,['google'],-33.00781,0.000633,7.6,3.21,0.18,Fri Mar 19 19:48:30,-6.0,-0.34
548,274,filtered_sundar,1616459296,@caesars @Google Thank you Caesar for all of your contributions over the years. Will always have fond memories of o… https://t.co/f0Okj7Yy99,0.6597,twitter.com/sundarpichai/status/1374080507013566465,['google'],209.80078,-0.001406,-1.36,-1.0,-0.33,Mon Mar 22 19:28:16,3.49,-0.98
549,275,filtered_sundar,1616459507,I met @GoogleStartups Black Founders Fund recipient @SeyiFabo (virtually) back in October - inspired by his work an… https://t.co/hyHu01UAgt,0.4939,twitter.com/sundarpichai/status/1374081389973282818,['google'],209.80078,-0.001406,-1.36,-1.0,-0.33,Mon Mar 22 19:31:47,3.49,-0.98
550,291,filtered_sundar,1617085613,"Happy #Holi! (Search ""Holi"" on Google for a colorful surprise:) https://t.co/2huhS64zKZ",0.6114,twitter.com/sundarpichai/status/1376707468995088387,['google'],1.14062,-0.000243,-2.46,4.05,-0.44,Tue Mar 30 01:26:53,1.06,-0.6
