,Unnamed: 0,user,timestamp,txt,sentiment,link,included symbols,BTC_returns,DOGE_returns,TSLA_returns,GOOG_returns,AAPL_returns,GME_returns,SPY_returns
525,3,tim_cook,1609533005,"Here’s to a New Year filled with promise and possibility, health and well-being, compassion and unity — and the daw… https://t.co/ybBbFbb0ea",0.6486,https://twitter.com/tim_cook/status/1345014435878866946,[],2753.11524,0.00493,1.79,0.0,-0.03,0.0,0.25
526,33,tim_cook,1610004067,Today marks a sad and shameful chapter in our nation’s history. Those responsible for this insurrection should be h… https://t.co/dQHFQ1ws0n,-0.6124,https://twitter.com/tim_cook/status/1346990215114551296,[],1426.56641,0.000104,1.79,0.0,-0.03,0.0,0.25
527,63,tim_cook,1610568533,"Apple’s Racial Equity and Justice Initiative is taking three big steps. Supporting the Propel Center, a global inno… https://t.co/tLz2FSoEcH",0.743,https://twitter.com/tim_cook/status/1349357756352892929,['apple'],1870.96875,0.000781,0.03,0.2,0.04,-0.05,0.03
528,88,tim_cook,1611000100,"“It will be power infused with love and justice that will change dark yesterdays into bright tomorrows, and lift us… https://t.co/RxV6KVi6gW",0.8885,https://twitter.com/tim_cook/status/1351167880298164229,[],-560.26953,-7.3e-05,16.83,17.0,2.18,5.53,3.4
529,107,tim_cook,1611206921,Congratulations to President Biden and Vice President Harris on this historic day. Inspired by your vision of unity… https://t.co/2tgeVaCEuA,0.8442,https://twitter.com/tim_cook/status/1352035349954846721,[],-4722.05078,-0.000894,7.12,10.12,0.39,0.15,0.23
530,113,tim_cook,1611358408,"Hank Aaron will go down in history as one of the greatest athletes of all time, an icon that defined excellence in… https://t.co/Res3P6XKMB",0.8519,https://twitter.com/tim_cook/status/1352670731377668097,[],-938.11914,5.5e-05,0.01,0.0,0.0,-0.35,0.0
531,122,tim_cook,1611611681,Walking has always been one of my favorite ways to clear my head and gain new perspectives. We hope Time to Walk ca… https://t.co/LhcnLEVYYA,0.8979,https://twitter.com/tim_cook/status/1353733036920041472,[],203.45703,-0.000128,0.0,0.0,0.04,1.18,0.05
532,128,tim_cook,1611867565,"#DataPrivacyDay comes at a time of great challenge, underscoring the critical role privacy and security play in our… https://t.co/goKP7Ksu8A",0.7845,https://twitter.com/tim_cook/status/1354806289692385292,[],2666.78125,0.034607,0.02,0.91,-0.37,12.56,-0.37
533,130,tim_cook,1611907937,"A pioneer with purpose. Cicely Tyson’s talent redefined theater, film and television. Her courage, resilience and g… https://t.co/Nrx9odKVy2",0.7184,https://twitter.com/tim_cook/status/1354975621911248899,[],-46.86328,-0.018986,-7.79,-20.82,-1.08,155.01,-1.86
534,133,tim_cook,1612213086,Fighting systemic barriers to opportunity means redefining business as usual. We're thrilled to open applications t… https://t.co/JuD5Xh9raP,0.4939,https://twitter.com/tim_cook/status/1356255509494394882,[],1973.11328,-0.003355,-1.66,-1.27,-0.15,-1.21,-0.47
