,timestamp,price_change,close,score_change,raw_score
0,1614006000,0.0,128.71,0.0,8.49
1,1614007800,-1.28,127.06,6.6,15.09
2,1614009600,-0.74,126.12,4.25,19.34
3,1614011400,0.53,126.79,-1.42,17.92
4,1614013200,0.02,126.81,-0.94,16.98
5,1614015000,-0.06,126.73,-3.77,13.21
6,1614016800,0.4,127.24,4.72,17.92
7,1614018600,0.1,127.37,2.83,20.75
8,1614020400,0.31,127.77,-3.3,17.45
9,1614022200,-0.08,127.67,-1.42,16.04
10,1614024000,-0.38,127.19,-0.94,15.09
11,1614025800,-0.39,126.69,-1.89,13.21
12,1614027600,-0.47,126.1,0.94,14.15
13,1614029400,-0.2,125.85,-0.94,13.21
14,1614031200,0.21,126.11,0.94,14.15
15,1614033000,-0.01,126.1,5.66,19.81
16,1614070800,-0.17,125.89,-14.15,5.66
17,1614072600,-1.09,124.52,1.42,7.08
18,1614074400,-0.28,124.17,-2.83,4.25
19,1614076200,-1.45,122.37,2.83,7.08
20,1614078000,0.11,122.5,3.77,10.85
21,1614079800,0.42,123.01,-0.47,10.38
22,1614081600,0.72,123.89,1.42,11.79
23,1614083400,-0.09,123.78,9.43,21.23
24,1614085200,-0.31,123.4,-8.02,13.21
25,1614087000,-0.17,123.19,5.19,18.4
26,1614088800,0.27,123.52,0.94,19.34
27,1614090600,-0.51,122.89,0.47,19.81
28,1614092400,-1.05,121.6,-0.47,19.34
29,1614094200,1.01,122.83,3.3,22.64
30,1614096000,0.59,123.56,-2.36,20.28
31,1614097800,-0.56,122.87,3.77,24.06
32,1614099600,-0.69,122.02,-12.74,11.32
33,1614101400,0.38,122.48,5.66,16.98
34,1614103200,-0.4,121.99,5.19,22.17
35,1614105000,1.22,123.48,-0.94,21.23
36,1614106800,0.65,124.28,5.19,26.42
37,1614108600,0.42,124.8,-18.4,8.02
38,1614110400,0.68,125.65,8.96,16.98
39,1614112200,0.83,126.69,-0.47,16.51
40,1614114000,-0.67,125.84,0.94,17.45
41,1614115800,-0.27,125.5,-0.47,16.98
42,1614117600,-0.16,125.3,1.42,18.4
43,1614119400,0.27,125.64,-5.19,13.21
44,1614121200,-0.07,125.55,0.0,13.21
45,1614123000,-0.21,125.29,4.25,17.45
46,1614124800,0.32,125.69,-8.96,8.49
47,1614126600,-0.37,125.22,1.42,9.91
48,1614157200,0.18,125.45,-8.49,1.42
49,1614159000,0.76,126.4,4.25,5.66
50,1614160800,-0.09,126.28,1.42,7.08
51,1614162600,0.02,126.3,-0.47,6.6
52,1614164400,0.0,126.3,-1.42,5.19
53,1614166200,-0.13,126.14,0.47,5.66
54,1614168000,-0.23,125.85,3.3,8.96
55,1614169800,0.59,126.59,-0.94,8.02
56,1614171600,0.37,127.06,7.08,15.09
57,1614173400,-0.51,126.41,-1.42,13.68
58,1614175200,-1.15,124.95,6.13,19.81
