,timestamp,price_change,close,score_change,raw_score
0,1614006000,0.0,46.1,0.0,8.49
1,1614007800,-5.03,43.78,6.6,15.09
2,1614009600,-2.03,42.89,4.25,19.34
3,1614011400,1.52,43.54,-1.42,17.92
4,1614013200,2.34,44.56,-0.94,16.98
5,1614015000,-0.49,44.34,-3.77,13.21
6,1614016800,-0.63,44.06,4.72,17.92
7,1614018600,-0.18,43.98,2.83,20.75
8,1614020400,1.8,44.77,-3.3,17.45
9,1614022200,1.47,45.43,-1.42,16.04
10,1614024000,2.31,46.48,-0.94,15.09
11,1614025800,-2.97,45.1,-1.89,13.21
12,1614027600,2.0,46.0,0.94,14.15
13,1614029400,3.89,47.79,-0.94,13.21
14,1614031200,-0.46,47.57,0.94,14.15
15,1614033000,-0.88,47.15,5.66,19.81
16,1614070800,-2.44,46.0,-14.15,5.66
17,1614072600,2.83,47.3,1.42,7.08
18,1614074400,-2.45,46.14,-2.83,4.25
19,1614076200,-4.14,44.23,2.83,7.08
20,1614078000,-0.97,43.8,3.77,10.85
21,1614079800,-0.68,43.5,-0.47,10.38
22,1614081600,1.72,44.25,1.42,11.79
23,1614083400,1.69,45.0,9.43,21.23
24,1614085200,-2.18,44.02,-8.02,13.21
25,1614087000,2.79,45.25,5.19,18.4
26,1614088800,-1.79,44.44,0.94,19.34
27,1614090600,1.35,45.04,0.47,19.81
28,1614092400,-3.26,43.57,-0.47,19.34
29,1614094200,-0.3,43.44,3.3,22.64
30,1614096000,0.12,43.49,-2.36,20.28
31,1614097800,-0.05,43.47,3.77,24.06
32,1614099600,-0.55,43.23,-12.74,11.32
33,1614101400,0.67,43.52,5.66,16.98
34,1614103200,-1.08,43.05,5.19,22.17
35,1614105000,1.97,43.9,-0.94,21.23
36,1614106800,0.64,44.18,5.19,26.42
37,1614108600,1.67,44.92,-18.4,8.02
38,1614110400,-0.4,44.74,8.96,16.98
39,1614112200,-0.31,44.6,-0.47,16.51
40,1614114000,0.45,44.8,0.94,17.45
41,1614115800,0.31,44.94,-0.47,16.98
42,1614117600,-3.85,43.21,1.42,18.4
