,timestamp,price_change,close,score_change,raw_score
0,1614006000,0.0,46.1,0.0,10.85
1,1614007800,-5.03,43.78,-6.6,4.25
2,1614009600,-2.03,42.89,7.08,11.32
3,1614011400,1.52,43.54,0.94,12.26
4,1614013200,2.34,44.56,-5.66,6.6
5,1614015000,-0.49,44.34,-6.6,0.0
6,1614016800,-0.63,44.06,12.26,12.26
7,1614018600,-0.18,43.98,8.02,20.28
8,1614020400,1.8,44.77,-8.96,11.32
9,1614022200,1.47,45.43,0.47,11.79
10,1614024000,2.31,46.48,-2.83,8.96
11,1614025800,-2.97,45.1,2.83,11.79
12,1614027600,2.0,46.0,8.49,20.28
13,1614029400,3.89,47.79,-3.3,16.98
14,1614031200,-0.46,47.57,-5.66,11.32
15,1614033000,-0.88,47.15,-3.3,8.02
16,1614070800,-2.44,46.0,-8.49,-0.47
17,1614072600,2.83,47.3,5.19,4.72
18,1614074400,-2.45,46.14,-3.3,1.42
19,1614076200,-4.14,44.23,0.0,1.42
20,1614078000,-0.97,43.8,1.89,3.3
21,1614079800,-0.68,43.5,-1.42,1.89
22,1614081600,1.72,44.25,2.83,4.72
23,1614083400,1.69,45.0,-0.47,4.25
24,1614085200,-2.18,44.02,0.47,4.72
25,1614087000,2.79,45.25,-1.42,3.3
26,1614088800,-1.79,44.44,2.83,6.13
27,1614090600,1.35,45.04,6.13,12.26
28,1614092400,-3.26,43.57,-4.72,7.55
29,1614094200,-0.3,43.44,0.94,8.49
30,1614096000,0.12,43.49,0.47,8.96
31,1614097800,-0.05,43.47,2.83,11.79
32,1614099600,-0.55,43.23,0.47,12.26
33,1614101400,0.67,43.52,-13.21,-0.94
34,1614103200,-1.08,43.05,12.26,11.32
35,1614105000,1.97,43.9,0.47,11.79
36,1614106800,0.64,44.18,-11.79,0.0
37,1614108600,1.67,44.92,5.19,5.19
38,1614110400,-0.4,44.74,0.47,5.66
39,1614112200,-0.31,44.6,4.72,10.38
40,1614114000,0.45,44.8,1.42,11.79
41,1614115800,0.31,44.94,2.36,14.15
42,1614117600,-3.85,43.21,-1.42,12.74
43,1614119400,-0.46,43.01,-12.74,0.0
44,1614121200,-0.02,43.0,8.02,8.02
45,1614123000,1.16,43.5,-4.25,3.77
46,1614124800,0.8,43.85,0.0,3.77
47,1614126600,-0.78,43.51,0.0,3.77
48,1614157200,3.36,44.97,-1.89,1.89
49,1614159000,-2.16,44.0,-2.83,-0.94
50,1614160800,-0.64,43.72,2.36,1.42
51,1614162600,0.64,44.0,0.47,1.89
52,1614164400,-0.02,43.99,-1.42,0.47
53,1614166200,0.0,43.99,1.42,1.89
54,1614168000,0.59,44.25,-0.47,1.42
55,1614169800,-0.11,44.2,1.42,2.83
56,1614171600,0.84,44.57,-2.36,0.47
57,1614173400,-0.72,44.25,0.94,1.42
58,1614175200,0.79,44.6,4.72,6.13
59,1614177000,1.39,45.22,-4.72,1.42
60,1614178800,3.36,46.74,5.19,6.6
61,1614180600,0.58,47.01,2.36,8.96
62,1614182400,3.94,48.86,-1.89,7.08
63,1614184200,-1.78,47.99,-2.83,4.25
64,1614186000,1.88,48.89,7.08,11.32
65,1614187800,-0.39,48.7,5.19,16.51
66,1614189600,-0.82,48.3,-6.13,10.38
