,timestamp,price_change,close,score_change,raw_score
0,1614006000,0.0,388.25,0.0,8.49
1,1614007800,-0.22,387.38,6.6,15.09
2,1614009600,0.02,387.45,4.25,19.34
3,1614011400,0.11,387.87,-1.42,17.92
4,1614013200,-0.0,387.86,-0.94,16.98
5,1614015000,0.04,388.0,-3.77,13.21
6,1614016800,0.21,388.83,4.72,17.92
7,1614018600,0.14,389.39,2.83,20.75
8,1614020400,0.0,389.4,-3.3,17.45
9,1614022200,-0.04,389.25,-1.42,16.04
10,1614024000,-0.11,388.84,-0.94,15.09
11,1614025800,-0.24,387.9,-1.89,13.21
12,1614027600,-0.16,387.27,0.94,14.15
13,1614029400,0.04,387.43,-0.94,13.21
14,1614031200,-0.01,387.39,0.94,14.15
15,1614033000,-0.02,387.3,5.66,19.81
16,1614070800,-0.05,387.1,-14.15,5.66
17,1614072600,-0.31,385.9,1.42,7.08
18,1614074400,-0.13,385.38,-2.83,4.25
19,1614076200,-0.26,384.38,2.83,7.08
20,1614078000,-0.07,384.12,3.77,10.85
21,1614079800,0.2,384.87,-0.47,10.38
22,1614081600,0.15,385.45,1.42,11.79
23,1614083400,0.05,385.64,9.43,21.23
24,1614085200,-0.06,385.42,-8.02,13.21
25,1614087000,-0.06,385.19,5.19,18.4
26,1614088800,-0.05,385.0,0.94,19.34
27,1614090600,-0.16,384.38,0.47,19.81
28,1614092400,-0.67,381.8,-0.47,19.34
29,1614094200,0.52,383.78,3.3,22.64
30,1614096000,0.38,385.25,-2.36,20.28
31,1614097800,-0.19,384.53,3.77,24.06
32,1614099600,-0.25,383.58,-12.74,11.32
33,1614101400,0.17,384.25,5.66,16.98
34,1614103200,-0.42,382.65,5.19,22.17
35,1614105000,0.62,385.02,-0.94,21.23
36,1614106800,0.02,385.09,5.19,26.42
37,1614108600,0.2,385.86,-18.4,8.02
38,1614110400,0.23,386.73,8.96,16.98
39,1614112200,0.53,388.77,-0.47,16.51
40,1614114000,-0.25,387.79,0.94,17.45
41,1614115800,-0.16,387.16,-0.47,16.98
42,1614117600,0.03,387.29,1.42,18.4
43,1614119400,-0.02,387.2,-5.19,13.21
44,1614121200,0.09,387.53,0.0,13.21
45,1614123000,-0.27,386.5,4.25,17.45
46,1614124800,0.19,387.23,-8.96,8.49
47,1614126600,-0.11,386.81,1.42,9.91
48,1614157200,0.18,387.5,-8.49,1.42
49,1614159000,0.17,388.14,4.25,5.66
50,1614160800,-0.01,388.12,1.42,7.08
51,1614162600,0.0,388.12,-0.47,6.6
52,1614164400,-0.03,387.99,-1.42,5.19
53,1614166200,0.02,388.05,0.47,5.66
54,1614168000,-0.09,387.7,3.3,8.96
55,1614169800,0.27,388.73,-0.94,8.02
56,1614171600,0.1,389.11,7.08,15.09
57,1614173400,-0.21,388.31,-1.42,13.68
58,1614175200,-0.5,386.37,6.13,19.81
59,1614177000,0.03,386.48,-6.6,13.21
60,1614178800,0.1,386.87,1.42,14.62
61,1614180600,0.05,387.05,-3.77,10.85
62,1614182400,0.36,388.45,2.36,13.21
63,1614184200,0.24,389.4,7.08,20.28
64,1614186000,0.19,390.14,-5.66,14.62
65,1614187800,0.18,390.84,5.66,20.28
66,1614189600,-0.09,390.47,4.25,24.53
67,1614191400,0.27,391.52,-8.96,15.57
68,1614193200,0.11,391.97,5.19,20.75
69,1614195000,-0.08,391.65,-3.77,16.98
70,1614196800,-0.08,391.33,6.6,23.58
71,1614198600,0.13,391.83,-9.43,14.15
72,1614200400,-0.01,391.79,0.94,15.09
73,1614202200,0.11,392.22,-9.91,5.19
74,1614204000,-0.06,391.98,3.77,8.96
75,1614205800,-0.03,391.86,3.77,12.74
76,1614207600,0.0,391.86,-1.89,10.85
77,1614209400,0.09,392.22,3.77,14.62
78,1614211200,0.16,392.86,2.36,16.98
79,1614213000,-0.02,392.79,0.47,17.45
80,1614243600,-0.26,391.76,-12.74,4.72
81,1614245400,-0.03,391.64,-3.3,1.42
82,1614247200,-0.01,391.6,0.0,1.42
83,1614249000,0.01,391.65,3.77,5.19
84,1614250800,0.1,392.05,-4.72,0.47
85,1614252600,-0.27,390.98,5.66,6.13
86,1614254400,-0.01,390.94,0.47,6.6
87,1614256200,0.06,391.19,0.47,7.08
88,1614258000,-0.16,390.57,3.3,10.38
89,1614259800,-0.06,390.35,-3.77,6.6
90,1614261600,0.06,390.6,7.55,14.15
91,1614263400,-0.02,390.51,-3.77,10.38
92,1614265200,0.08,390.83,-1.89,8.49
93,1614267000,-0.39,389.31,3.3,11.79
94,1614268800,-0.09,388.96,12.26,24.06
95,1614270600,-0.15,388.36,-0.94,23.11
96,1614272400,-0.61,386.0,-6.13,16.98
97,1614274200,-0.24,385.09,-4.72,12.26
98,1614276000,-0.47,383.29,-0.47,11.79
99,1614277800,0.28,384.37,3.77,15.57
100,1614279600,-0.1,383.99,5.66,21.23
101,1614281400,0.54,386.06,1.89,23.11
102,1614283200,-0.38,384.58,-8.02,15.09
103,1614285000,-0.56,382.42,-1.89,13.21
104,1614286800,0.11,382.83,-4.72,8.49
105,1614288600,-0.09,382.5,4.25,12.74
106,1614290400,-0.16,381.9,1.89,14.62
107,1614292200,0.0,381.9,-7.08,7.55
108,1614294000,-0.05,381.7,10.38,17.92
109,1614295800,0.22,382.55,2.36,20.28
110,1614297600,-0.09,382.21,-3.77,16.51
111,1614299400,-0.46,380.47,-1.89,14.62
112,1614330000,0.9,383.91,-12.74,1.89
113,1614331800,-0.09,383.58,5.66,7.55
114,1614333600,-0.09,383.25,-3.3,4.25
115,1614335400,0.01,383.3,1.42,5.66
116,1614337200,-0.29,382.2,-2.36,3.3
117,1614339000,-0.18,381.52,1.89,5.19
118,1614340800,-0.01,381.47,5.19,10.38
119,1614342600,0.37,382.88,5.19,15.57
120,1614344400,-0.31,381.7,-2.36,13.21
121,1614346200,0.34,382.99,0.94,14.15
122,1614348000,0.35,384.34,0.94,15.09
123,1614349800,-0.04,384.18,-3.3,11.79
124,1614351600,-0.66,381.63,-3.3,8.49
125,1614353400,-0.7,378.97,9.91,18.4
126,1614355200,0.81,382.05,-0.94,17.45
127,1614357000,0.02,382.14,0.47,17.92
128,1614358800,0.34,383.44,1.42,19.34
129,1614360600,0.36,384.83,-1.42,17.92
130,1614362400,-0.43,383.16,0.47,18.4
131,1614364200,0.26,384.17,-0.94,17.45
132,1614366000,-0.41,382.58,1.42,18.87
133,1614367800,-0.12,382.13,-3.77,15.09
134,1614369600,0.35,383.46,-6.6,8.49
135,1614371400,-0.27,382.42,3.3,11.79
136,1614373200,-0.51,380.48,4.25,16.04
