,timestamp,price_change,close,score_change,raw_score
0,1614006000,0.0,761.99,0.0,8.49
1,1614007800,-1.09,753.72,6.6,15.09
2,1614009600,-1.37,743.4,4.25,19.34
3,1614011400,0.1,744.18,-1.42,17.92
4,1614013200,0.14,745.23,-0.94,16.98
5,1614015000,-0.53,741.25,-3.77,13.21
6,1614016800,0.64,745.99,4.72,17.92
7,1614018600,-0.42,742.88,2.83,20.75
8,1614020400,-0.09,742.19,-3.3,17.45
9,1614022200,-0.55,738.08,-1.42,16.04
10,1614024000,-0.4,735.16,-0.94,15.09
11,1614025800,-1.67,722.88,-1.89,13.21
12,1614027600,-1.16,714.5,0.94,14.15
13,1614029400,0.07,715.0,-0.94,13.21
14,1614031200,0.19,716.36,0.94,14.15
15,1614033000,-0.26,714.5,5.66,19.81
16,1614070800,-2.59,696.0,-14.15,5.66
17,1614072600,-1.58,685.0,1.42,7.08
18,1614074400,-0.85,679.21,-2.83,4.25
19,1614076200,-3.37,656.31,2.83,7.08
20,1614078000,0.96,662.63,3.77,10.85
21,1614079800,1.26,671.0,-0.47,10.38
22,1614081600,0.6,675.0,1.42,11.79
23,1614083400,0.56,678.8,9.43,21.23
24,1614085200,0.03,679.03,-8.02,13.21
25,1614087000,-0.3,677.0,5.19,18.4
26,1614088800,0.13,677.88,0.94,19.34
27,1614090600,-1.27,669.25,0.47,19.81
28,1614092400,-2.17,654.74,-0.47,19.34
29,1614094200,5.02,687.62,3.3,22.64
30,1614096000,1.59,698.55,-2.36,20.28
31,1614097800,-1.8,686.0,3.77,24.06
32,1614099600,-1.38,676.55,-12.74,11.32
33,1614101400,0.91,682.69,5.66,16.98
34,1614103200,-1.19,674.55,5.19,22.17
35,1614105000,2.47,691.2,-0.94,21.23
36,1614106800,-0.79,685.72,5.19,26.42
37,1614108600,0.69,690.42,-18.4,8.02
38,1614110400,-0.3,688.34,8.96,16.98
39,1614112200,3.17,710.17,-0.47,16.51
40,1614114000,-1.62,698.7,0.94,17.45
41,1614115800,0.33,701.0,-0.47,16.98
42,1614117600,1.5,711.5,1.42,18.4
43,1614119400,0.49,715.02,-5.19,13.21
44,1614121200,-0.0,715.0,0.0,13.21
45,1614123000,0.18,716.31,4.25,17.45
46,1614124800,0.31,718.5,-8.96,8.49
