,Unnamed: 0,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns
3,3,elonmusk,Thu Apr 29 22:19:17,@teslaownersSV Was using this in my car last night,0,twitter.com/elonmusk/status/1387894284041527297,['tesla'],0,0,0,0,0
4,4,elonmusk,Thu Apr 29 22:16:56,@teslaownersSV FSD display V9.0 will show actual probability distribution of objects – true mind’s eye of the neural net. This is so cool!,0.7255,twitter.com/elonmusk/status/1387893690354515970,['tesla'],0,0,0,0,0
6,6,elonmusk,Thu Apr 29 22:10:47,@adamcarter @teslaownersSV @TeslaNY @Tesla True. Anyone paying attention to the rate of improvement will realize th… https://t.co/ynff0srf9A,0.7003,twitter.com/elonmusk/status/1387892143792984065,['tesla'],0,0,0,0,0
9,9,elonmusk,Thu Apr 29 01:07:51,"@jgrano305 @tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Hopefully, later this year for several more states. Insu… https://t.co/KZHBd43bxA",0.4019,twitter.com/elonmusk/status/1387574315969880068,['tesla'],0,0,0,0,0
10,10,elonmusk,Thu Apr 29 01:05:26,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla And hopefully EU this summer,0.4019,twitter.com/elonmusk/status/1387573708483710978,['tesla'],0,0,0,0,0
11,11,elonmusk,Thu Apr 29 01:04:40,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Probably a few months. There are many subtle differences between US &amp; Canada driving.,0,twitter.com/elonmusk/status/1387573516040609796,['tesla'],0,0,0,0,0
12,12,elonmusk,Thu Apr 29 01:02:04,@teslaownersSV @TeslaNY @Tesla Gating factor is achieving &amp; proving higher safety with pure vision than with vision… https://t.co/TW7MpE8Ayi,0.5859,twitter.com/elonmusk/status/1387572858768007179,['tesla'],0,0,0,0,0
13,13,elonmusk,Thu Apr 29 00:05:15,@teslaownersSV @TeslaNY @Tesla Probably two weeks,0,twitter.com/elonmusk/status/1387558563208368131,['tesla'],0,0,0,0,0
14,14,elonmusk,Wed Apr 28 23:57:34,@TeslaNY @Tesla Good technical analysis,0.4404,twitter.com/elonmusk/status/1387556627298070531,['tesla'],0,0,0,0,0
17,17,elonmusk,Wed Apr 28 21:50:07,@WR4NYGov @garyblack00 @Tesla @WholeMarsBlog 🤣🤣 exactly,0,twitter.com/elonmusk/status/1387524555409924102,['tesla'],0,0,0,0,0
26,26,elonmusk,Wed Apr 28 06:20:47,"The Dogefather
SNL May 8",0,twitter.com/elonmusk/status/1387290679794089986,['doge'],0,0,0,0,0
32,32,elonmusk,Tue Apr 27 22:32:29,"@garyblack00 Other companies spend money on advertising &amp; manipulating public opinion, Tesla focuses on the product. 

I trust the people.",0.2023,twitter.com/elonmusk/status/1387172830094233601,['tesla'],0,0,0,0,0
33,33,elonmusk,Tue Apr 27 21:34:19,@DocumentingBTC Yes,0.4019,twitter.com/elonmusk/status/1387158189985173505,['bitcoin'],0,0,0,0,0
41,41,elonmusk,Mon Apr 26 23:15:01,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to p… https://t.co/JMnjABou4g",-0.296,twitter.com/elonmusk/status/1386821144037236737,"['bitcoin', 'tesla']",0,0,0,0,0
73,73,elonmusk,Thu Apr 22 20:20:50,"@AstroJordy I’m staying at a friend’s place in Florida that is 85% powered by Tesla Solar Roof + Powerwall. 

When… https://t.co/5qtJec95aY",0,twitter.com/elonmusk/status/1385327759665270788,['tesla'],0,0,0,0,0
76,76,elonmusk,Thu Apr 22 06:02:03,"@JohnnaCrider1 @WholeMarsBlog If Tesla owners are “conspiracy theorists”, then it would be fair to call them “adver… https://t.co/GadN1Gg1un",0.3182,twitter.com/elonmusk/status/1385111636810240002,['tesla'],0,0,0,0,0
77,77,elonmusk,Thu Apr 22 05:49:17,Tesla Solar + Powerwall battery enables consumers to be their own utility,0,twitter.com/elonmusk/status/1385108424761872387,['tesla'],0,0,0,0,0
83,83,elonmusk,Thu Apr 22 01:27:43,"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery",0,twitter.com/elonmusk/status/1385042598692147204,['tesla'],0,0,0,0,0
85,85,elonmusk,Wed Apr 21 15:30:27,@TeslaNY Sandy Munro knows what he’s talking about,0,twitter.com/elonmusk/status/1384892295137333252,['tesla'],0,0,0,0,0
87,87,elonmusk,Wed Apr 21 04:00:41,@teslaownersSV cgi irl!,0,twitter.com/elonmusk/status/1384718706014441475,['tesla'],0,0,0,0,0
88,88,elonmusk,Wed Apr 21 03:51:12,"@PPathole @Tesla @SpaceX I could get a job, just not at an Internet company (weren’t many back then)",0,twitter.com/elonmusk/status/1384716322756386819,['tesla'],0,0,0,0,0
99,99,elonmusk,Mon Apr 19 02:10:00,@teslaownersSV @SpaceX @NASA @considercosmos Support for humanity’s future in space is super appreciated. Let’s mak… https://t.co/7RzwJJOY9C,0.872,twitter.com/elonmusk/status/1383966077344894979,['tesla'],0,0,0,0,0
102,102,elonmusk,Sat Apr 17 22:45:36,@WholeMarsBlog Passive Autopilot (sometimes called active safety) comes standard on all Teslas,0.5423,twitter.com/elonmusk/status/1383552252871200770,['tesla'],0,0,0,0,0
104,104,elonmusk,Sat Apr 17 22:32:03,Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle https://t.co/6lGy52wVhC,-0.1531,twitter.com/elonmusk/status/1383548841438236674,['tesla'],0,0,0,0,0
106,106,elonmusk,Sat Apr 17 04:51:09,@WhatsupFranks Great progress by Tesla team,0.7845,twitter.com/elonmusk/status/1383281856984936450,['tesla'],0,0,0,0,0
113,113,elonmusk,Fri Apr 16 08:25:23,RT @Tesla: Cybertruck at Giga Texas https://t.co/c1RuektPnN,0,twitter.com/elonmusk/status/1382973382375874561,['tesla'],0,0,0,0,0
121,121,elonmusk,Thu Apr 15 21:10:47,@sadiaslayy @DogecoinBets 😮,0,twitter.com/elonmusk/status/1382803612829581317,['doge'],0,0,0,0,0
125,125,elonmusk,Thu Apr 15 04:33:18,Doge Barking at the Moon https://t.co/QFB81D7zOL,0,twitter.com/elonmusk/status/1382552587099062272,['doge'],0,0,0,0,0
126,126,elonmusk,Thu Apr 15 04:28:47,@WSBChairman Doge Barking at the Moon – Miro https://t.co/1vTM2XOusy,0,twitter.com/elonmusk/status/1382551451185131522,['doge'],0,0,0,0,0
132,132,elonmusk,Wed Apr 14 23:21:29,@andyweedman @karpathy @DirtyTesla Stop … In the Name of Love! https://t.co/kBsTi5jz16,0.5093,twitter.com/elonmusk/status/1382474118050639879,['tesla'],0,0,0,0,0
133,133,elonmusk,Wed Apr 14 22:54:55,@AustinTeslaClub @TslaCC @teslaquadcities @teslaownersvn @SjvTesla @TeslaOwnersEBay @CodingMark @billhuang688 @gailalfa1 @Tesla 🥰,0,twitter.com/elonmusk/status/1382467430614667265,['tesla'],0,0,0,0,0
134,134,elonmusk,Wed Apr 14 22:35:20,@Teslarati I found some footage of the drive https://t.co/TXeLQO9Spr,0,twitter.com/elonmusk/status/1382462502831738887,['tesla'],0,0,0,0,0
135,135,elonmusk,Wed Apr 14 22:32:57,@AstroJordy @dogeofficialceo @F9Block5 Insanely cute!,0.5093,twitter.com/elonmusk/status/1382461904128339968,['doge'],0,0,0,0,0
136,136,elonmusk,Wed Apr 14 22:27:30,"@WholeMarsBlog Button timing of May is aspirational. Depends on how well limited beta of V9.0 goes, but I would be… https://t.co/M1DxOactEI",0.0258,twitter.com/elonmusk/status/1382460531550785541,['apple'],0,0,0,0,0
138,138,elonmusk,Wed Apr 14 22:19:48,@dogeofficialceo @F9Block5 🤣🤣,0,twitter.com/elonmusk/status/1382458594352713728,['doge'],0,0,0,0,0
143,143,elonmusk,Wed Apr 14 21:57:08,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.,0.923,twitter.com/elonmusk/status/1382452890468421632,['tesla'],0,0,0,0,0
147,147,elonmusk,Wed Apr 14 09:01:41,"@AstroJordy @PPathole @SpaceX @Tesla That version of Falcon 1 never flew, so must be ~2004. The CAD looks so simple… https://t.co/aGUhFg67yQ",0,twitter.com/elonmusk/status/1382257741540954114,['tesla'],0,0,0,0,0
148,148,elonmusk,Wed Apr 14 08:53:14,"@eugenelee3 @PPathole @SpaceX @Tesla Yeah, not scalable. My grad student idea was to try to use advanced chip makin… https://t.co/BeEBx3S1Kh",0.4939,twitter.com/elonmusk/status/1382255613665701894,['tesla'],0,0,0,0,0
149,149,elonmusk,Wed Apr 14 07:50:45,@PPathole @SpaceX @Tesla That was my night job. Day job was working on ruthenium-tantalum ultracapacitors at Pinnacle Research.,0,twitter.com/elonmusk/status/1382239892445401089,['tesla'],0,0,0,0,0
150,150,elonmusk,Wed Apr 14 07:48:25,"@PPathole @SpaceX @Tesla True. Ancient times … Had to flip CPU registers explicitly, as computer was so slow.",0.4215,twitter.com/elonmusk/status/1382239304097824768,['tesla'],0,0,0,0,0
151,151,elonmusk,Wed Apr 14 00:41:45,@Erdayastronaut @Tesla Absolutely,0,twitter.com/elonmusk/status/1382131928619495429,['tesla'],0,0,0,0,0
152,152,elonmusk,Tue Apr 13 19:25:11,@Erdayastronaut @Tesla Tesla is building up collision repair capability to help address the grief that you went thr… https://t.co/szqDg49Xuq,-0.4588,twitter.com/elonmusk/status/1382052264802721792,['tesla'],0,0,0,0,0
165,165,elonmusk,Sat Apr 10 08:32:35,@tesla_adri @WholeMarsBlog These things are best thought of as probabilities. There are 5 forward-facing cameras. I… https://t.co/U4Wn21WAYv,0.6369,twitter.com/elonmusk/status/1380800869382320134,['tesla'],0,0,0,0,0
179,179,elonmusk,Sat Apr 10 01:07:04,"@AustinTeslaClub @OwenSparks_ @WholeMarsBlog Good point. 

Next major software rev will do much better with automat… https://t.co/O02a16kMjw",0.7003,twitter.com/elonmusk/status/1380688750179586049,['tesla'],0,0,0,0,0
181,181,elonmusk,Sat Apr 10 00:33:12,@teslaownersSV @neuralink Turns out 🐒 love video games &amp; snacks just like us!,0.7901,twitter.com/elonmusk/status/1380680228230426625,['tesla'],0,0,0,0,0
191,191,elonmusk,Fri Apr 09 07:35:55,@TeslaGong Yeah,0.296,twitter.com/elonmusk/status/1380424218261692418,['tesla'],0,0,0,0,0
355,355,JoeBiden,Fri Feb 05 19:31:56,RT @POTUS: America is back. Diplomacy is back. https://t.co/03dFPQyYjw,0,twitter.com/JoeBiden/status/1357773974550306818,['apple'],0,0,0,0,0
579,579,JoeBiden,Sat Dec 12 01:06:00,There are just a few days left of Obamacare's open enrollment for 2021 coverage. Don't wait — visit… https://t.co/NoKKNRqxzj,0,twitter.com/JoeBiden/status/1337564324022239233,['apple'],0,0,0,0,0
904,904,JoeBiden,Mon Nov 02 04:20:00,"As president, I’ll protect and build on Obamacare by: 

- Giving Americans the choice of a new public option
- Lowe… https://t.co/hlwfrHXAei",0.6124,twitter.com/JoeBiden/status/1323117631033933825,['apple'],0,0,0,0,0
980,980,JoeBiden,Sat Oct 31 17:03:45,"Folks, we’re just three days from Election Day — and what you do between now and when polls close on Tuesday will d… https://t.co/AAwSQQBM1P",0,twitter.com/JoeBiden/status/1322585061452034048,['apple'],0,0,0,0,0
1049,1049,JoeBiden,Wed Oct 28 17:40:00,"As president, I'll build on Obamacare to ensure every single American has access to quality, affordable health care… https://t.co/X5yijpAkwi",0.3818,twitter.com/JoeBiden/status/1321507018516156419,['apple'],0,0,0,0,0
1056,1056,JoeBiden,Wed Oct 28 01:01:00,"Two years ago, a white supremacist entered Pittsburgh’s Tree of Life Synagogue and perpetrated the deadliest anti-S… https://t.co/FcTLp85PRU",0.128,twitter.com/JoeBiden/status/1321255611795951618,['apple'],0,0,0,0,0
1079,1079,JoeBiden,Mon Oct 26 21:16:00,We can’t let President Trump tear down Obamacare.,0,twitter.com/JoeBiden/status/1320836600805416961,['apple'],0,0,0,0,0
