,Unnamed: 0,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns,p_change
3,3,elonmusk,1619752757,@teslaownersSV Was using this in my car last night,0,twitter.com/elonmusk/status/1387894284041527297,['tesla'],0,0,0,0,0,-1
4,4,elonmusk,1619752616,@teslaownersSV FSD display V9.0 will show actual probability distribution of objects – true mind’s eye of the neural net. This is so cool!,0.7255,twitter.com/elonmusk/status/1387893690354515970,['tesla'],0,0,0,0,0,-1
6,6,elonmusk,1619752247,@adamcarter @teslaownersSV @TeslaNY @Tesla True. Anyone paying attention to the rate of improvement will realize th… https://t.co/ynff0srf9A,0.7003,twitter.com/elonmusk/status/1387892143792984065,['tesla'],0,0,0,0,0,-1
9,9,elonmusk,1619676471,"@jgrano305 @tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Hopefully, later this year for several more states. Insu… https://t.co/KZHBd43bxA",0.4019,twitter.com/elonmusk/status/1387574315969880068,['tesla'],0,0,0,0,0,-1
10,10,elonmusk,1619676326,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla And hopefully EU this summer,0.4019,twitter.com/elonmusk/status/1387573708483710978,['tesla'],0,0,0,0,0,-1
11,11,elonmusk,1619676280,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Probably a few months. There are many subtle differences between US &amp; Canada driving.,0,twitter.com/elonmusk/status/1387573516040609796,['tesla'],0,0,0,0,0,-1
12,12,elonmusk,1619676124,@teslaownersSV @TeslaNY @Tesla Gating factor is achieving &amp; proving higher safety with pure vision than with vision… https://t.co/TW7MpE8Ayi,0.5859,twitter.com/elonmusk/status/1387572858768007179,['tesla'],0,0,0,0,0,-1
13,13,elonmusk,1619672715,@teslaownersSV @TeslaNY @Tesla Probably two weeks,0,twitter.com/elonmusk/status/1387558563208368131,['tesla'],0,0,0,0,0,-1
14,14,elonmusk,1619672254,@TeslaNY @Tesla Good technical analysis,0.4404,twitter.com/elonmusk/status/1387556627298070531,['tesla'],0,0,0,0,0,-1
17,17,elonmusk,1619664607,@WR4NYGov @garyblack00 @Tesla @WholeMarsBlog 🤣🤣 exactly,0,twitter.com/elonmusk/status/1387524555409924102,['tesla'],0,0,0,0,0,-1
26,26,elonmusk,1619608847,"The Dogefather
SNL May 8",0,twitter.com/elonmusk/status/1387290679794089986,['doge'],0,0,0,0,0,-1
32,32,elonmusk,1619580749,"@garyblack00 Other companies spend money on advertising &amp; manipulating public opinion, Tesla focuses on the product. 

I trust the people.",0.2023,twitter.com/elonmusk/status/1387172830094233601,['tesla'],0,0,0,0,0,-1
33,33,elonmusk,1619577259,@DocumentingBTC Yes,0.4019,twitter.com/elonmusk/status/1387158189985173505,['bitcoin'],0,0,0,0,0,-1
41,41,elonmusk,1619496901,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to p… https://t.co/JMnjABou4g",-0.296,twitter.com/elonmusk/status/1386821144037236737,"['bitcoin', 'tesla']",0,0,0,0,0,-1
73,73,elonmusk,1619140850,"@AstroJordy I’m staying at a friend’s place in Florida that is 85% powered by Tesla Solar Roof + Powerwall. 

When… https://t.co/5qtJec95aY",0,twitter.com/elonmusk/status/1385327759665270788,['tesla'],0,0,0,0,0,-1
76,76,elonmusk,1619089323,"@JohnnaCrider1 @WholeMarsBlog If Tesla owners are “conspiracy theorists”, then it would be fair to call them “adver… https://t.co/GadN1Gg1un",0.3182,twitter.com/elonmusk/status/1385111636810240002,['tesla'],0,0,0,0,0,-1
77,77,elonmusk,1619088557,Tesla Solar + Powerwall battery enables consumers to be their own utility,0,twitter.com/elonmusk/status/1385108424761872387,['tesla'],0,0,0,0,0,-1
83,83,elonmusk,1619072863,"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery",0,twitter.com/elonmusk/status/1385042598692147204,['tesla'],0,0,0,0,0,-1
85,85,elonmusk,1619037027,@TeslaNY Sandy Munro knows what he’s talking about,0,twitter.com/elonmusk/status/1384892295137333252,['tesla'],0,0,0,0,0,-1
87,87,elonmusk,1618995641,@teslaownersSV cgi irl!,0,twitter.com/elonmusk/status/1384718706014441475,['tesla'],0,0,0,0,0,-1
88,88,elonmusk,1618995072,"@PPathole @Tesla @SpaceX I could get a job, just not at an Internet company (weren’t many back then)",0,twitter.com/elonmusk/status/1384716322756386819,['tesla'],0,0,0,0,0,-1
99,99,elonmusk,1618816200,@teslaownersSV @SpaceX @NASA @considercosmos Support for humanity’s future in space is super appreciated. Let’s mak… https://t.co/7RzwJJOY9C,0.872,twitter.com/elonmusk/status/1383966077344894979,['tesla'],0,0,0,0,0,-1
102,102,elonmusk,1618717536,@WholeMarsBlog Passive Autopilot (sometimes called active safety) comes standard on all Teslas,0.5423,twitter.com/elonmusk/status/1383552252871200770,['tesla'],0,0,0,0,0,-1
104,104,elonmusk,1618716723,Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle https://t.co/6lGy52wVhC,-0.1531,twitter.com/elonmusk/status/1383548841438236674,['tesla'],0,0,0,0,0,-1
106,106,elonmusk,1618653069,@WhatsupFranks Great progress by Tesla team,0.7845,twitter.com/elonmusk/status/1383281856984936450,['tesla'],0,0,0,0,0,-1
113,113,elonmusk,1618579523,RT @Tesla: Cybertruck at Giga Texas https://t.co/c1RuektPnN,0,twitter.com/elonmusk/status/1382973382375874561,['tesla'],0,0,0,0,0,-1
121,121,elonmusk,1618539047,@sadiaslayy @DogecoinBets 😮,0,twitter.com/elonmusk/status/1382803612829581317,['doge'],0,0,0,0,0,-1
125,125,elonmusk,1618479198,Doge Barking at the Moon https://t.co/QFB81D7zOL,0,twitter.com/elonmusk/status/1382552587099062272,['doge'],0,0,0,0,0,-1
126,126,elonmusk,1618478927,@WSBChairman Doge Barking at the Moon – Miro https://t.co/1vTM2XOusy,0,twitter.com/elonmusk/status/1382551451185131522,['doge'],0,0,0,0,0,-1
132,132,elonmusk,1618460489,@andyweedman @karpathy @DirtyTesla Stop … In the Name of Love! https://t.co/kBsTi5jz16,0.5093,twitter.com/elonmusk/status/1382474118050639879,['tesla'],0,0,0,0,0,-1
133,133,elonmusk,1618458895,@AustinTeslaClub @TslaCC @teslaquadcities @teslaownersvn @SjvTesla @TeslaOwnersEBay @CodingMark @billhuang688 @gailalfa1 @Tesla 🥰,0,twitter.com/elonmusk/status/1382467430614667265,['tesla'],0,0,0,0,0,-1
134,134,elonmusk,1618457720,@Teslarati I found some footage of the drive https://t.co/TXeLQO9Spr,0,twitter.com/elonmusk/status/1382462502831738887,['tesla'],0,0,0,0,0,-1
135,135,elonmusk,1618457577,@AstroJordy @dogeofficialceo @F9Block5 Insanely cute!,0.5093,twitter.com/elonmusk/status/1382461904128339968,['doge'],0,0,0,0,0,-1
136,136,elonmusk,1618457250,"@WholeMarsBlog Button timing of May is aspirational. Depends on how well limited beta of V9.0 goes, but I would be… https://t.co/M1DxOactEI",0.0258,twitter.com/elonmusk/status/1382460531550785541,['apple'],0,0,0,0,0,-1
138,138,elonmusk,1618456788,@dogeofficialceo @F9Block5 🤣🤣,0,twitter.com/elonmusk/status/1382458594352713728,['doge'],0,0,0,0,0,-1
143,143,elonmusk,1618455428,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.,0.923,twitter.com/elonmusk/status/1382452890468421632,['tesla'],0,0,0,0,0,-1
147,147,elonmusk,1618408901,"@AstroJordy @PPathole @SpaceX @Tesla That version of Falcon 1 never flew, so must be ~2004. The CAD looks so simple… https://t.co/aGUhFg67yQ",0,twitter.com/elonmusk/status/1382257741540954114,['tesla'],0,0,0,0,0,-1
148,148,elonmusk,1618408394,"@eugenelee3 @PPathole @SpaceX @Tesla Yeah, not scalable. My grad student idea was to try to use advanced chip makin… https://t.co/BeEBx3S1Kh",0.4939,twitter.com/elonmusk/status/1382255613665701894,['tesla'],0,0,0,0,0,-1
149,149,elonmusk,1618404645,@PPathole @SpaceX @Tesla That was my night job. Day job was working on ruthenium-tantalum ultracapacitors at Pinnacle Research.,0,twitter.com/elonmusk/status/1382239892445401089,['tesla'],0,0,0,0,0,-1
150,150,elonmusk,1618404505,"@PPathole @SpaceX @Tesla True. Ancient times … Had to flip CPU registers explicitly, as computer was so slow.",0.4215,twitter.com/elonmusk/status/1382239304097824768,['tesla'],0,0,0,0,0,-1
