,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns
0,elonmusk,Thu Apr 29 22:45:59,"A major part of real-world AI has to be solved to make unsupervised, generalized full self-driving work, as the ent… https://t.co/eRFEqUqjV0",0.2732,twitter.com/elonmusk/status/1387901003664699392,[],0,0,0,0,0
1,elonmusk,Thu Apr 29 22:45:59,"A major part of real-world AI has to be solved to make unsupervised, generalized full self-driving work, as the ent… https://t.co/eRFEqUqjV0",0.2732,twitter.com/elonmusk/status/1387901003664699392,[],0,0,0,0,0
2,elonmusk,Thu Apr 29 22:30:29,@WholeMarsBlog Exactly!,0,twitter.com/elonmusk/status/1387897099983990793,[],0,0,0,0,0
3,elonmusk,Thu Apr 29 22:19:17,@teslaownersSV Was using this in my car last night,0,twitter.com/elonmusk/status/1387894284041527297,['tesla'],0,0,0,0,0
4,elonmusk,Thu Apr 29 22:16:56,@teslaownersSV FSD display V9.0 will show actual probability distribution of objects – true mind’s eye of the neural net. This is so cool!,0.7255,twitter.com/elonmusk/status/1387893690354515970,['tesla'],0,0,0,0,0
5,elonmusk,Thu Apr 29 22:13:50,@WhatsupFranks @danheld I swear Canada FSD beta will be as soon as humanly possible!,-0.126,twitter.com/elonmusk/status/1387892910960615428,[],0,0,0,0,0
6,elonmusk,Thu Apr 29 22:10:47,@adamcarter @teslaownersSV @TeslaNY @Tesla True. Anyone paying attention to the rate of improvement will realize th… https://t.co/ynff0srf9A,0.7003,twitter.com/elonmusk/status/1387892143792984065,['tesla'],0,0,0,0,0
7,elonmusk,Thu Apr 29 21:38:42,@danheld 🤣🤣,0,twitter.com/elonmusk/status/1387884069220982784,[],0,0,0,0,0
8,elonmusk,Thu Apr 29 03:57:55,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s seventh launch and lan…",0,twitter.com/elonmusk/status/1387617112898908162,[],0,0,0,0,0
9,elonmusk,Thu Apr 29 01:07:51,"@jgrano305 @tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Hopefully, later this year for several more states. Insu… https://t.co/KZHBd43bxA",0.4019,twitter.com/elonmusk/status/1387574315969880068,['tesla'],0,0,0,0,0
10,elonmusk,Thu Apr 29 01:05:26,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla And hopefully EU this summer,0.4019,twitter.com/elonmusk/status/1387573708483710978,['tesla'],0,0,0,0,0
11,elonmusk,Thu Apr 29 01:04:40,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Probably a few months. There are many subtle differences between US &amp; Canada driving.,0,twitter.com/elonmusk/status/1387573516040609796,['tesla'],0,0,0,0,0
12,elonmusk,Thu Apr 29 01:02:04,@teslaownersSV @TeslaNY @Tesla Gating factor is achieving &amp; proving higher safety with pure vision than with vision… https://t.co/TW7MpE8Ayi,0.5859,twitter.com/elonmusk/status/1387572858768007179,['tesla'],0,0,0,0,0
13,elonmusk,Thu Apr 29 00:05:15,@teslaownersSV @TeslaNY @Tesla Probably two weeks,0,twitter.com/elonmusk/status/1387558563208368131,['tesla'],0,0,0,0,0
14,elonmusk,Wed Apr 28 23:57:34,@TeslaNY @Tesla Good technical analysis,0.4404,twitter.com/elonmusk/status/1387556627298070531,['tesla'],0,0,0,0,0
15,elonmusk,Wed Apr 28 22:22:53,@heydave7 Yes,0.4019,twitter.com/elonmusk/status/1387532802116173825,[],0,0,0,0,0
16,elonmusk,Wed Apr 28 21:55:33,"@squawksquare Sorry 🤣🤣 
https://t.co/v98BnxPXg6",-0.0772,twitter.com/elonmusk/status/1387525922463666179,[],0,0,0,0,0
17,elonmusk,Wed Apr 28 21:50:07,@WR4NYGov @garyblack00 @Tesla @WholeMarsBlog 🤣🤣 exactly,0,twitter.com/elonmusk/status/1387524555409924102,['tesla'],0,0,0,0,0
18,elonmusk,Wed Apr 28 21:48:58,@OwenSparks_ @nbcsnl @MileyCyrus Might be something there haha,0.4588,twitter.com/elonmusk/status/1387524266191687685,[],0,0,0,0,0
19,elonmusk,Wed Apr 28 21:46:45,"@skorusARK Best-selling by revenue in 2022, possibly by unit volume in 2023",0,twitter.com/elonmusk/status/1387523708458254337,[],0,0,0,0,0
20,elonmusk,Wed Apr 28 19:49:09,@collision @SpaceX Cool! 🇮🇪,0.3802,twitter.com/elonmusk/status/1387494112904060933,[],0,0,0,0,0
21,elonmusk,Wed Apr 28 08:54:22,@RationalEtienne @Erdayastronaut @Twisi80 Starship is literally more pointy because of that movie haha,0.4588,twitter.com/elonmusk/status/1387329332541104131,[],0,0,0,0,0
22,elonmusk,Wed Apr 28 08:51:43,@RiusJulien https://t.co/paTKsQjNp8,0,twitter.com/elonmusk/status/1387328662073188353,[],0,0,0,0,0
23,elonmusk,Wed Apr 28 08:43:37,"♥️
https://t.co/juLuKlymEX",0,twitter.com/elonmusk/status/1387326627160408067,[],0,0,0,0,0
24,elonmusk,Wed Apr 28 07:33:33,@AstroJordy @wapodavenport 0% so far,0,twitter.com/elonmusk/status/1387308991743672322,[],0,0,0,0,0
25,elonmusk,Wed Apr 28 06:21:41,@muratpak 🔥,0,twitter.com/elonmusk/status/1387290907108679680,[],0,0,0,0,0
26,elonmusk,Wed Apr 28 06:20:47,"The Dogefather
SNL May 8",0,twitter.com/elonmusk/status/1387290679794089986,['doge'],0,0,0,0,0
27,elonmusk,Wed Apr 28 04:53:39,"@wapodavenport Did my heart love till now? forswear it, sight!
For I ne'er saw true beauty till this night.",0.902,twitter.com/elonmusk/status/1387268753369583616,[],0,0,0,0,0
28,elonmusk,Wed Apr 28 04:44:21,"@wapodavenport Romeo + Juliet, fish tank scene",0,twitter.com/elonmusk/status/1387266412683702274,[],0,0,0,0,0
29,elonmusk,Wed Apr 28 03:25:43,@Erdayastronaut @Twisi80 Testing header tanks. All good so far.,0.4404,twitter.com/elonmusk/status/1387246623340732421,[],0,0,0,0,0
