,Unnamed: 0,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns,p_change
0,0,elonmusk,1619754359,"A major part of real-world AI has to be solved to make unsupervised, generalized full self-driving work, as the ent… https://t.co/eRFEqUqjV0",0.2732,twitter.com/elonmusk/status/1387901003664699392,,0,0,0,0,0,-1
1,1,elonmusk,1619754359,"A major part of real-world AI has to be solved to make unsupervised, generalized full self-driving work, as the ent… https://t.co/eRFEqUqjV0",0.2732,twitter.com/elonmusk/status/1387901003664699392,,0,0,0,0,0,-1
2,2,elonmusk,1619753429,@WholeMarsBlog Exactly!,0.0,twitter.com/elonmusk/status/1387897099983990793,,0,0,0,0,0,-1
3,3,elonmusk,1619752757,@teslaownersSV Was using this in my car last night,0.0,twitter.com/elonmusk/status/1387894284041527297,3.0,0,0,0,0,0,-1
4,4,elonmusk,1619752616,@teslaownersSV FSD display V9.0 will show actual probability distribution of objects – true mind’s eye of the neural net. This is so cool!,0.7255,twitter.com/elonmusk/status/1387893690354515970,4.0,0,0,0,0,0,-1
5,5,elonmusk,1619752430,@WhatsupFranks @danheld I swear Canada FSD beta will be as soon as humanly possible!,-0.126,twitter.com/elonmusk/status/1387892910960615428,,0,0,0,0,0,-1
6,6,elonmusk,1619752247,@adamcarter @teslaownersSV @TeslaNY @Tesla True. Anyone paying attention to the rate of improvement will realize th… https://t.co/ynff0srf9A,0.7003,twitter.com/elonmusk/status/1387892143792984065,6.0,0,0,0,0,0,-1
7,7,elonmusk,1619750322,@danheld 🤣🤣,0.0,twitter.com/elonmusk/status/1387884069220982784,,0,0,0,0,0,-1
8,8,elonmusk,1619686675,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s seventh launch and lan…",0.0,twitter.com/elonmusk/status/1387617112898908162,,0,0,0,0,0,-1
9,9,elonmusk,1619676471,"@jgrano305 @tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Hopefully, later this year for several more states. Insu… https://t.co/KZHBd43bxA",0.4019,twitter.com/elonmusk/status/1387574315969880068,9.0,0,0,0,0,0,-1
10,10,elonmusk,1619676326,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla And hopefully EU this summer,0.4019,twitter.com/elonmusk/status/1387573708483710978,10.0,0,0,0,0,0,-1
11,11,elonmusk,1619676280,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Probably a few months. There are many subtle differences between US &amp; Canada driving.,0.0,twitter.com/elonmusk/status/1387573516040609796,11.0,0,0,0,0,0,-1
12,12,elonmusk,1619676124,@teslaownersSV @TeslaNY @Tesla Gating factor is achieving &amp; proving higher safety with pure vision than with vision… https://t.co/TW7MpE8Ayi,0.5859,twitter.com/elonmusk/status/1387572858768007179,12.0,0,0,0,0,0,-1
13,13,elonmusk,1619672715,@teslaownersSV @TeslaNY @Tesla Probably two weeks,0.0,twitter.com/elonmusk/status/1387558563208368131,13.0,0,0,0,0,0,-1
14,14,elonmusk,1619672254,@TeslaNY @Tesla Good technical analysis,0.4404,twitter.com/elonmusk/status/1387556627298070531,14.0,0,0,0,0,0,-1
15,15,elonmusk,1619666573,@heydave7 Yes,0.4019,twitter.com/elonmusk/status/1387532802116173825,,0,0,0,0,0,-1
16,16,elonmusk,1619664933,"@squawksquare Sorry 🤣🤣 
https://t.co/v98BnxPXg6",-0.0772,twitter.com/elonmusk/status/1387525922463666179,,0,0,0,0,0,-1
17,17,elonmusk,1619664607,@WR4NYGov @garyblack00 @Tesla @WholeMarsBlog 🤣🤣 exactly,0.0,twitter.com/elonmusk/status/1387524555409924102,17.0,0,0,0,0,0,-1
18,18,elonmusk,1619664538,@OwenSparks_ @nbcsnl @MileyCyrus Might be something there haha,0.4588,twitter.com/elonmusk/status/1387524266191687685,,0,0,0,0,0,-1
19,19,elonmusk,1619664405,"@skorusARK Best-selling by revenue in 2022, possibly by unit volume in 2023",0.0,twitter.com/elonmusk/status/1387523708458254337,,0,0,0,0,0,-1
20,20,elonmusk,1619657349,@collision @SpaceX Cool! 🇮🇪,0.3802,twitter.com/elonmusk/status/1387494112904060933,,0,0,0,0,0,-1
21,21,elonmusk,1619618062,@RationalEtienne @Erdayastronaut @Twisi80 Starship is literally more pointy because of that movie haha,0.4588,twitter.com/elonmusk/status/1387329332541104131,,0,0,0,0,0,-1
22,22,elonmusk,1619617903,@RiusJulien https://t.co/paTKsQjNp8,0.0,twitter.com/elonmusk/status/1387328662073188353,,0,0,0,0,0,-1
23,23,elonmusk,1619617417,"♥️
https://t.co/juLuKlymEX",0.0,twitter.com/elonmusk/status/1387326627160408067,,0,0,0,0,0,-1
24,24,elonmusk,1619613213,@AstroJordy @wapodavenport 0% so far,0.0,twitter.com/elonmusk/status/1387308991743672322,,0,0,0,0,0,-1
25,25,elonmusk,1619608901,@muratpak 🔥,0.0,twitter.com/elonmusk/status/1387290907108679680,,0,0,0,0,0,-1
26,26,elonmusk,1619608847,"The Dogefather
SNL May 8",0.0,twitter.com/elonmusk/status/1387290679794089986,26.0,0,0,0,0,0,-1
27,27,elonmusk,1619603619,"@wapodavenport Did my heart love till now? forswear it, sight!
For I ne'er saw true beauty till this night.",0.902,twitter.com/elonmusk/status/1387268753369583616,,0,0,0,0,0,-1
28,28,elonmusk,1619603061,"@wapodavenport Romeo + Juliet, fish tank scene",0.0,twitter.com/elonmusk/status/1387266412683702274,,0,0,0,0,0,-1
29,29,elonmusk,1619598343,@Erdayastronaut @Twisi80 Testing header tanks. All good so far.,0.4404,twitter.com/elonmusk/status/1387246623340732421,,0,0,0,0,0,-1
30,30,elonmusk,1619582486,"@leastImAlive @thesheetztweetz They have an important role to play in protecting the public from getting swindled,… https://t.co/DJ2SUlliJZ",0.4939,twitter.com/elonmusk/status/1387180114836967427,,0,0,0,0,0,-1
31,31,elonmusk,1619581543,"@thesheetztweetz FCC is fair &amp; sensible. NHTSA &amp; FAA too. 99.9% of the time, I agree with regulators! 

On rare occ… https://t.co/w8mxrjXh3p",0.6239,twitter.com/elonmusk/status/1387176157737541641,,0,0,0,0,0,-1
32,32,elonmusk,1619580749,"@garyblack00 Other companies spend money on advertising &amp; manipulating public opinion, Tesla focuses on the product. 

I trust the people.",0.2023,twitter.com/elonmusk/status/1387172830094233601,32.0,0,0,0,0,0,-1
33,33,elonmusk,1619577259,@DocumentingBTC Yes,0.4019,twitter.com/elonmusk/status/1387158189985173505,33.0,0,0,0,0,0,-1
34,34,elonmusk,1619573141,@PPathole Yup,0.0,twitter.com/elonmusk/status/1387140919145766912,,0,0,0,0,0,-1
35,35,elonmusk,1619573088,"@garyblack00 @CGrantWSJ @WSJ I find it more helpful to read/follow individual journalists, rather than publications… https://t.co/zDRXthEyDc",0.4754,twitter.com/elonmusk/status/1387140695387951105,,0,0,0,0,0,-1
36,36,elonmusk,1619501840,@kchangnyt https://t.co/eLvYOnn6zT,0.0,twitter.com/elonmusk/status/1386841861323698177,,0,0,0,0,0,-1
37,37,elonmusk,1619500500,"Starship SN15 static fire completed, preparing for flight later this week",-0.34,twitter.com/elonmusk/status/1386836238771105793,,0,0,0,0,0,-1
38,38,elonmusk,1619500419,@jeff_foust True 🤣🤣,0.4215,twitter.com/elonmusk/status/1386835900169129984,,0,0,0,0,0,-1
39,39,elonmusk,1619497908,@kchangnyt Can’t get it up (to orbit) lol,0.4215,twitter.com/elonmusk/status/1386825367948644352,,0,0,0,0,0,-1
40,40,elonmusk,1619497074,@heydave7 Seems quite likely at least based on revenue in 2022 &amp; possibly total units in 2023,0.0,twitter.com/elonmusk/status/1386821871199571968,,0,0,0,0,0,-1
41,41,elonmusk,1619496901,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to p… https://t.co/JMnjABou4g",-0.296,twitter.com/elonmusk/status/1386821144037236737,41.0,0,0,0,0,0,-1
42,42,elonmusk,1619495778,@jgrano305 @Orangetilt Yes,0.4019,twitter.com/elonmusk/status/1386816432655290381,,0,0,0,0,0,-1
43,43,elonmusk,1619495663,"@Orangetilt Yeah, roughly 200MW/km^2 using currently available solar panels. 

What’s really amazing is that you ca… https://t.co/Ulbz8UlY2Q",0.7425,twitter.com/elonmusk/status/1386815954181632000,,0,0,0,0,0,-1
44,44,elonmusk,1619482265,"@PPathole An advantage I did have is that my father is a talented electrical &amp; mechanical engineer, so I was taught… https://t.co/D0xuHB5O19",0.6486,twitter.com/elonmusk/status/1386759755088211974,,0,0,0,0,0,-1
45,45,elonmusk,1619478631,@PPathole True. The opposite in fact – I provide financial support to my parents.,0.6705,twitter.com/elonmusk/status/1386744515856322563,,0,0,0,0,0,-1
46,46,elonmusk,1619478404,RT @Space_Station: The @SpaceX Crew-1 astronauts will soon soar back to Earth and parachute to a splashdown off the coast of Florida. They…,0.0,twitter.com/elonmusk/status/1386743561585102853,,0,0,0,0,0,-1
47,47,elonmusk,1619435514,@BLKMDL3 @JohnnaCrider1 We just got approval to open a new Supercharger station in Malibu!,0.5255,twitter.com/elonmusk/status/1386563667706011653,,0,0,0,0,0,-1
48,48,elonmusk,1619435333,@JohnnaCrider1 https://t.co/xl441YNnOs,0.0,twitter.com/elonmusk/status/1386562909833109505,,0,0,0,0,0,-1
49,49,elonmusk,1619397691,@BadAstronomer So awesome!,0.6893,twitter.com/elonmusk/status/1386405029523845125,,0,0,0,0,0,-1
50,50,elonmusk,1619338846,Let’s find out just how live Saturday Night Live really is 😈,0.0,twitter.com/elonmusk/status/1386158212970340354,,0,0,0,0,0,-1
51,51,elonmusk,1619338165,Am hosting SNL on May 8,0.0,twitter.com/elonmusk/status/1386155357739921412,,0,0,0,0,0,-1
52,52,elonmusk,1619336429,@Tesmanian_com Yup,0.0,twitter.com/elonmusk/status/1386148075434123264,,0,0,0,0,0,-1
53,53,elonmusk,1619274264,RT @SpaceX: Docking confirmed – second time at the @space_station for this Dragon https://t.co/JLC9wOjRFT,0.0,twitter.com/elonmusk/status/1385887339742998528,,0,0,0,0,0,-1
54,54,elonmusk,1619274187,@KuroiKumanoashi Lies can be beautiful,0.2732,twitter.com/elonmusk/status/1385887015774867457,,0,0,0,0,0,-1
55,55,elonmusk,1619273014,https://t.co/l6Bc0wkWol,0.0,twitter.com/elonmusk/status/1385882094296092672,,0,0,0,0,0,-1
56,56,elonmusk,1619272519,define … beauty,0.5859,twitter.com/elonmusk/status/1385880018417557506,,0,0,0,0,0,-1
57,57,elonmusk,1619272465,What does the future hodl?,0.0,twitter.com/elonmusk/status/1385879790381641728,,0,0,0,0,0,-1
58,58,elonmusk,1619272408,"RT @RealLifeStarman: “We need to have a big permanently occupied base on the moon, and then build a city on Mars and become a spacefaring c…",0.0,twitter.com/elonmusk/status/1385879551008559109,,0,0,0,0,0,-1
59,59,elonmusk,1619206692,@OwenSparks_ @PPathole Absolutely!,0.0,twitter.com/elonmusk/status/1385603921121533954,,0,0,0,0,0,-1
60,60,elonmusk,1619205821,@PPathole This is the essence of my philosophy,0.0,twitter.com/elonmusk/status/1385600268620939265,,0,0,0,0,0,-1
61,61,elonmusk,1619205486,@SciGuySpace This is important,0.2023,twitter.com/elonmusk/status/1385598863399129090,,0,0,0,0,0,-1
62,62,elonmusk,1619204818,@lexfridman Yup,0.0,twitter.com/elonmusk/status/1385596061922779140,,0,0,0,0,0,-1
63,63,elonmusk,1619195300,RT @SpaceX: Dragon has separated from Falcon 9’s second stage and is on its way to the @space_station! Autonomous docking tomorrow at ~5:10…,0.0,twitter.com/elonmusk/status/1385556138561875970,,0,0,0,0,0,-1
64,64,elonmusk,1619189238,2 mins to launch https://t.co/q9nXKRrXpw,0.0,twitter.com/elonmusk/status/1385530714662133763,,0,0,0,0,0,-1
